What is toxicology?,"the science of adverse effects of chemicals , including drugs, on living organisms",0
what is an antidote? provide an example,"a drug that counteracts the effects of a poison or overdose by another drug<br>e.g. dimercaprol is the antidote to arsenic, mercury &amp; other heavy metals<br>",0
what sort of toxicants do toxicologists consider when assessing risk?,adverse drug rxns<br>- drugs in development<br>- chemicals in built environment<br>- environmental hazards<br>- xenobiotics and endobiotics,0
what is the therapeutic index and how is it calculated?,= LD50/ED50 (ed = effective dose),0
what is a toxicant and how is it different from a toxin?,toxicant = any agent that is capable of producing deleterious effects in the body (or organism)<br>a&nbsp;toxin&nbsp;is a toxicant from natural origin (e.g. plant or animal),0
what are the key factors that contribute to toxicity?,1. dose (most important)<br>2. route of exposure<br>3. duration<br>4. toxicokinetics (espc metabolism)<br>5. population,0
what are some common mechanisms by which toxicants cause damage in the body?,"1. formation of adducts (covalent bonding)<br>2. alter repair or adaptation (necrosis, cancer, fibrosis)<br>3. cause cellular dysfunction (dysfunctional signalling and matinance)",0
what is epidemiology,"“The study of the distribution and determinants of health-related states or events in specified populations, and the application of this study to control of health problems.”",0
what are the two types of epidemiological studies?,"1. descriptive --&gt;&nbsp;distribution&nbsp;of disease (Correlational, Case reports, case series, cross-sectional)<br>2. analytical --&gt;&nbsp;determinants&nbsp;of disease (–Observational --&gt; Case-control, Cohort or Intervention --&gt; Therapeutic, Preventative)",0
what is the difference between case-control and cohort studies?,"Case control:•Cases selected on basis of disease, controls no disease
•Usually retrospective
•Particularly good for disease with long exposure time (latency)
•Susceptible to bias since subjects are actively selected on criterion (disease)<br>Cohort:
Subjects selected on basis of exposure&nbsp;status
–Prospective
•Follow subjects over period based on potential for exposure to putative toxicant / influence
–Retrospective
•Select subjects on basis of exposure then investigate for presence on disease
•Reality: Subjects chosen, easy data collection",0
what is a biological warfare agent?,"a microorganism, or a toxin derived from it, which causes disease in humans, plants or animals",0
what is infectivity,The infectivity of an agent reflects the relative ease with which micro-organisms establish themselves in a host species.&nbsp;<br>,0
what is virulence,The virulence of an agent reflects the relative severity of disease produced by that agent compared to other strains. Different&nbsp;<br>,0
what is incubation period&nbsp;,The time between exposure and the appearance of symptoms is known as the incubation period. This is governed by many&nbsp;<br>,0
provide some examples of bacterial agents,"Anthrax<br>
Brucellosis
Cholera
Melioidosis
Plague
Shigella
Tularemia
Typhoid Fever",0
provide some examples of toxins that have applications as biological weapons,"Aflatoxins<br>
Botulinum toxins
Clostridium perfringens toxins
Mycotoxins
Palytoxin
Ricin
Saxitoxin
Staphylococcal enterotoxins
Tetrodotoxin",0
what is ricin and what is its mechanism of toxicity?,"Ricin is a glycoprotein toxin that comes from the seed of the castor plant.<br>
It blocks protein synthesis by binding rRNA, thus killing the cell.LD50:Inhalation –3-5 microgram/kg<br>
Oral –20 mg/kg",0
what is tetrodoxin and what is its mechanism of toxicity?,A neurotoxin found in pufferfish<br>Blocks voltage-gated sodium channels on motor neurons (prevents signal transmission from the brain to muscles)<br>,0
what is a chemical weapon?,"A chemical substance which is intended for use in military operations to kill, seriously injure or incapacitate people because of its physiological effects.",0
what are nerve agents and provide an example,"MOA: Chemical reaction with acetylcholinesterase (AChE), an enzyme of the nervous system at nerve junctions excessive nerve activity (short-circuit)Convulsions and respiratory failureLiquids delivered as vapour. V lipophilice.g. Sarin, VX, most organophosphate esters",0
what are vesicants and provide an example,"vesicants act at the boundary of the epidermis and dermis to cause blistering/tissue damage<br>e.g. sulfur mustard<br><img src=""paste-94f9000ddfd6ec7be5f559debd48b15150ed525a.jpg"">",0
what are oedemagens and provide an example,"choking agents<br>MOA: Injures the lining of the lungs leading to pulmonary oedema (fluid in lungs)<br>e.g. phosgene, chlorine gas",0
what are cyanogens and provide an example,"MOA:&nbsp; Interference with oxygen metabolism in the cell or affect ability to carry oxygen in blood: cellular respiratory failure<br>e.g. HCN, CO",0
what are incapacitants and provide an example,"Intended to produce non-lethal temporary (hr–days) disabling effect. Most likely delivered as aerosol absorption via lungs<br>e.g. tear gas, pepper spray",0
describe the absorption of toxicants using lead as an example,"- half life of lead is 7y in kidney, 32y in bone<br>- respiatory absorption rate is 30-40%, 2-3x higher in kids<br>- GI absorption is very high in children (40-50%)<br>- toxicity mechanisms:&nbsp;1. Binding electron donors e.g. sulfhydryl groups on proteins, 2. interfering with divalent cation targets (Ca, Zn, Mg), and 3. maybe DNA methylation?",0
